"name","description","genres"
"강일권","웹진 [리드머] 편집장","랩&힙합,알앤비&소울"
"고종석","㈜그루버스 컨텐츠실장/이사","록,메탈&하드코어,포크"
"공태희","OBS경인TV 제작국","록,모던록"
"권석정","로엔엔터테인먼트 PD","팝,재즈&크로스오버"
"권오성","대구MBC 음악감독 / DJ","포크,재즈&크로스오버"
"김경진","팝시페텔뮤직 대표 / 대중음악 칼럼니스트","모던록,포크"
"김광현","[재즈피플] 편집장","재즈&크로스오버"
"김미소","독립 프로듀서","포크,재즈&크로스오버"
"김봉현","힙합 저널리스트","랩&힙합,알앤비&소울"
"김봉환","벅스 뮤직캐스트팀 팀장","록,팝"
"김성대","대중음악평론가 / 주간 경남진주신문 편집장","모던록,메탈&하드코어"
"김성환","대중음악 저널리스트","팝,댄스&일렉트로닉,포크"
"김영대","음악평론가","팝,댄스&일렉트로닉"
"김윤하","대중음악평론가","팝,댄스&일렉트로닉"
"김이슬","벅스 컨텐츠기획","랩&힙합,알앤비&소울"
"김정원","[힙합엘이] 편집장","알앤비&소울"
"김창남","성공회대 교수",""
"김학선","대중음악평론가","록,모던록,메탈&하드코어"
"김현준","재즈비평가","재즈&크로스오버"
"김홍범","KBS 라디오 PD","록,모던록"
"김효섭","WBS 원음방송 라디오 PD","록,포크"
"나도원","음악평론가 / 예술인소셜유니온 前 위원장","록,모던록"
"남성훈","대중음악 칼럼니스트","랩&힙합,알앤비&소울"
"박병운","웹진 [음악취향Y] 필진","록,모던록,메탈&하드코어"
"박은석","대중음악평론가 / ㈜겟컴퍼니 대표","록,모던록,메탈&하드코어"
"박정용","벨로주(veloso) 대표","알앤비&소울,포크"
"박준우","음악칼럼니스트","랩&힙합,알앤비&소울"
"박현준","경인방송 PDJ","록,모던록,포크"
"박희아","[매거진 아이즈] 기자","팝,댄스&일렉트로닉"
"배순탁","음악평론가","록,모던록"
"서정민","씨네플레이 대표이사","모던록,팝"
"서정민갑","대중음악의견가","메탈&하드코어,포크,재즈&크로스오버"
"성우진","경인방송(iFM) 제작부장","록,모던록,메탈&하드코어"
"신현준","성공회대 부교수","팝,포크"
"안민용"."월간 [재즈피플] 편집위원","재즈&크로스오버"
"유정훈","온라인 샵 [뮤직랜드] 컨텐츠 팀장","팝,댄스&일렉트로닉"
"이경준","대중음악평론가","록,모던록,메탈&하드코어"
"이광훈","㈜디지털스카이넷 Radio KISS 편성제작부장","랩&힙합,알앤비&소울"
"이규탁","한국조지메이슨대학교 문화인류학 조교수","팝,랩&힙합"
"이대화","프리랜서 음악저널리스트","팝,댄스&일렉트로닉"
"이병주","웹진 [리드머] 필진","랩&힙합,알앤비&소울"
"이종민","대중음악평론가","팝,댄스&일렉트로닉"
"이태훈","대중음악평론가/자유기고가","재즈&크로스오버"
"이혜진","EBS 편성 PD","모던록,팝"
"임희윤","[동아일보] 문화부 기자","록,모던록"
"정구원","음악웹진 [weiv] 편집장","팝,댄스&일렉트로닉"
"정병욱","[음악취향Y] 필진 / 음악평론가","팝,재즈&크로스오버"
"정원석","음악평론가","팝,포크"
"정진영","[문화일보] 기자","록,모던록"
"조원희","대중음악평론가","팝,댄스&일렉트로닉"
"조일동","웹진 [음악취향Y] 편집장","록,메탈&하드코어,재즈&크로스오버"
"최규용","재즈 칼럼니스트","재즈&크로스오버"
"최지선","대중음악평론가","팝,포크"
"최지호","[음악취향Y] 필진","모던록,포크"
"현지운","음악평론가","팝,댄스&일렉트로닉"
"홍지민","[서울신문] 문화부 기자","록,메탈&하드코어"
