"name","description","genres"
"강일권","웹진 [리드머] 편집장","랩&힙합-알앤비&소울"
"고종석","한국대중음악박물관 사무국장 / 대중음악평론가","헤비니스,포크,록-모던록"
"공태희","OBS 제작1팀장","록-모던록"
"권석정","피키캐스트 뮤직팀장","재즈&크로스오버"
"권오성","대구MBC 음악감독 / DJ","재즈&크로스오버,포크"
"김광현","[재즈피플] 편집장","재즈&크로스오버"
"김봉현","대중음악평론가","랩&힙합-알앤비&소울"
"김봉환","벅스 컨텐츠기획","헤비니스,록-모던록"
"김성대","[음악취향Y] 필진/음악평론가","헤비니스,록-모던록"
"김성환","음악칼럼니스트","포크,헤비니스,팝-댄스&일렉트로닉"
"김원석","대중음악필자","록-모던록"
"김윤하","대중음악평론가","팝-댄스&일렉트로닉"
"김작가","대중음악평론가","록-모던록"
"김창남","성공회대 교수",""
"김학선","웹진 [보다] 편집장","헤비니스,록-모던록"
"김현준","재즈비평가","재즈&크로스오버"
"김홍범","KBS 라디오 PD","록-모던록"
"나도원","음악평론가","록-모던록,헤비니스"
"남성훈","흑인음악칼럼니스트","랩&힙합-알앤비&소울"
"문정호","대중음악평론가","랩&힙합-알앤비&소울"
"민일홍","KBS 라디오 PD","팝-댄스&일렉트로닉"
"민정홍","EBS 편성기획부 PD","재즈&크로스오버"
"박병운","[음악취향Y] 필진","록-모던록,헤비니스"
"박애경","대중음악평론가","재즈&크로스오버"
"박은석","대중음악평론가","록-모던록"
"박정용","벨로주(veloso) 대표","재즈&크로스오버,포크"
"박준우","웹진 [아이돌로지] 에디터","랩&힙합-알앤비&소울"
"박준흠","서울종합예술학교 교수 / 대중음악SOUND연구소장","록-모던록"
"박현준","경인방송 PDJ","록-모던록"
"배순탁","대중음악평론가","록-모던록"
"서병석","CBS 라디오 PD","록-모던록"
"서정민","[한겨레신문] 기자","팝-댄스&일렉트로닉"
"서정민갑","대중음악의견가","헤비니스,재즈&크로스오버,포크"
"성우진","대중음악평론가","록-모던록,헤비니스"
"송명하","[파라노이드] 편집장","헤비니스,록-모던록"
"신현준","성공회대 교수","팝-댄스&일렉트로닉"
"안민용","[재즈피플] 기자","재즈&크로스오버"
"안병진","경인방송 라디오 PD","팝-댄스&일렉트로닉"
"유정훈","온라인 샵 [뮤직랜드] 컨텐츠 팀장","팝-댄스&일렉트로닉"
"윤호준","[음악취향Y] 필자","포크,팝-댄스&일렉트로닉"
"이경준","대중음악평론가","포크,록-모던록,헤비니스"
"이광훈","Radio KISS 편성 제작 팀장","랩&힙합-알앤비&소울"
"이규탁","가톨릭대학교 한류대학원 강사","랩&힙합-알앤비&소울"
"이대화","대중음악평론가","팝-댄스&일렉트로닉"
"이대희","[프레시안] 기자","록-모던록"
"이민희","음악칼럼니스트","록-모던록"
"이병주","웹진 [리드머] 필진","랩&힙합-알앤비&소울"
"이용우","웹진 [weiv] 에디터","록-모던록"
"이종민","대중음악 칼럼니스트","팝-댄스&일렉트로닉"
"이태훈","대중음악평론가","포크,재즈&크로스오버"
"이현기","네이버뮤직 차장","록-모던록"
"이혜진","EBS 스페이스 공감 PD","팝-댄스&일렉트로닉"
"임희윤","[동아일보] 기자","록-모던록"
"정구원","웹진 [weiv] 에디터","록-모던록"
"정원석","음악평론가","팝-댄스&일렉트로닉,포크"
"정진영","[헤럴드경제] 기자","록-모던록,헤비니스"
"조원희","대중음악평론가","팝-댄스&일렉트로닉"
"조일동","[음악취향Y] 편집장","재즈&크로스오버,헤비니스"
"최규성","대중문화평론가","록-모던록,포크"
"최규용","Radio KISS PD / 재즈 칼럼니스트","재즈&크로스오버"
"최민우","대중음악평론가","팝-댄스&일렉트로닉"
"최성욱","웹진 [weiv] 에디터","재즈&크로스오버"
"최지선","대중음악평론가","팝-댄스&일렉트로닉"
"최지호","[음악취향Y] 필진","포크,록-모던록"
"한동윤","대중음악평론가","랩&힙합-알앤비&소울"
"한명륜","대중음악평론가","록-모던록,헤비니스"
"현지운","음악평론가","팝-댄스&일렉트로닉"
"홍지민","[서울신문] 기자","헤비니스,록-모던록"
