name,first_year,last_year,desc_2010,desc_2011,desc_2012,desc_2013,desc_2014,desc_2015,desc_2016,desc_2017,genres_2014,genres_2015,genres_2016,genres_2017
김윤하,2010,2017,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,팝-댄스&일렉트로닉,팝-댄스&일렉트로닉,팝-댄스&일렉트로닉,"댄스&일렉트로닉,팝"
김작가,2010,2017,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,록-모던록,록-모던록,록-모던록,록-모던록
김창남,2010,2017,성공회대 교수 (선정위원장),성공회대 교수 (선정위원장),성공회대 교수 (선정위원장),성공회대 교수 (선정위원장),성공회대 교수,성공회대 교수,성공회대 교수,성공회대 교수,,,,
김학선,2010,2017,웹진 [보다] 편집장,웹진 [보다] 편집장,웹진 [보다] 편집장,웹진 [보다] 편집장,웹진 [보다] 편집장,웹진 [보다] 편집장,웹진 [보다] 편집장,웹진 [보다] 편집장,록-모던록,록-모던록,"헤비니스,록-모던록","메탈&하드코어,록-모던록"
김홍범,2010,2017,KBS 라디오 PD,KBS 라디오 PD,KBS 라디오 PD,KBS 라디오 PD,KBS 라디오 PD,KBS 라디오 PD,KBS 라디오 PD,KBS 라디오 PD,록-모던록,록-모던록,록-모던록,록-모던록
나도원,2010,2017,음악평론가,음악평론가,음악평론가,음악평론가,음악평론가,음악평론가,음악평론가,음악평론가,록-모던록,"록-모던록,포크","록-모던록,헤비니스","메탈&하드코어,록-모던록"
문정호,2010,2017,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,힙합-알앤비&소울,힙합-알앤비&소울,랩&힙합-알앤비&소울,랩&힙합-알앤비&소울
민일홍,2010,2017,KBS 라디오 PD,KBS 라디오 PD,KBS 라디오 PD,KBS 라디오 PD,KBS 라디오 PD,KBS 라디오 PD,KBS 라디오 PD,KBS 라디오 PD,팝-댄스&일렉트로닉,팝-댄스&일렉트로닉,팝-댄스&일렉트로닉,"댄스&일렉트로닉,팝"
박은석,2010,2017,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,록-모던록,록-모던록,록-모던록,록-모던록
박정용,2010,2017,카페 veloso / 웹진[weiv] 에디터,카페 veloso / 웹진[weiv] 에디터,카페 veloso / 웹진[weiv] 에디터,"벨로주 대표, 온스테이지 기획위원","벨로주(veloso) 대표,온스테이지 기획위원",벨로주(veloso) 대표 / 온스테이지 기획위원,벨로주(veloso) 대표,벨로주(veloso) 대표,재즈&크로스오버,"재즈&크로스오버,포크","재즈&크로스오버,포크","포크,재즈&크로스오버"
박준흠,2010,2017,가슴네트워크 대표,가슴네트워크 대표,가슴네트워크 대표,가슴네트워크 대표,"서울종합예술학교 교수,대중음악SOUND연구소장",서울종합예술학교 교수 / 대중음악SOUND연구소장,서울종합예술학교 교수 / 대중음악SOUND연구소장,사운드네트워크(주) 대표이사,록-모던록,재즈&크로스오버,록-모던록,록-모던록
배순탁,2010,2017,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,록-모던록,록-모던록,록-모던록,록-모던록
서정민갑,2010,2017,대중음악평론가,대중음악평론가,대중음악의견가,대중음악의견가,대중음악의견가,대중음악의견가,대중음악의견가,대중음악의견가,재즈&크로스오버,"재즈&크로스오버,포크","헤비니스,재즈&크로스오버,포크","재즈&크로스오버,포크,메탈&하드코어"
성우진,2010,2017,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,대중음악평론가,팝-댄스&일렉트로닉,"팝-댄스&일렉트로닉,포크","록-모던록,헤비니스","록-모던록,메탈&하드코어"
